task,cv,cue_col,cue_label,baseline_n,plus_tribe_n,baseline_n_features,plus_tribe_n_features,baseline_auc,plus_tribe_auc,delta_auc,baseline_accuracy,plus_tribe_accuracy,delta_accuracy,baseline_balanced_accuracy,plus_tribe_balanced_accuracy,delta_balanced_accuracy
topbottom25_logistic,10fold,ocr_brand_present,OCR brand text,210,210,1,36,0.4783950617283951,0.7386528685548294,0.2602578068264343,0.5523809523809524,0.680952380952381,0.12857142857142856,0.559640522875817,0.6811002178649237,0.12145969498910669
topbottom25_logistic,10fold,strong_people_present,Strong people,210,210,1,36,0.43809005083514885,0.7421023965141611,0.30401234567901225,0.46190476190476193,0.680952380952381,0.21904761904761905,0.45479302832244006,0.6805555555555556,0.22576252723311552
topbottom25_logistic,10fold,face_closeup_present,Face close-up,210,210,1,36,0.43087327523602037,0.7453703703703703,0.31449709513435,0.4714285714285714,0.7,0.22857142857142854,0.46568627450980393,0.6996187363834423,0.23393246187363836
topbottom25_logistic,10fold,saturation_mean,Mean saturation,210,210,1,36,0.5513798111837327,0.7428286129266521,0.19144880174291945,0.5523809523809524,0.7,0.14761904761904754,0.5514705882352942,0.6998910675381264,0.1484204793028322
topbottom25_logistic,10fold,high_saturation_present,High saturation window,210,210,1,36,0.46604938271604934,0.7483660130718954,0.2823166303558461,0.5571428571428572,0.7047619047619048,0.14761904761904765,0.5561002178649237,0.7050653594771241,0.14896514161220042
topbottom25_logistic,10fold,non_upbeat_audio,Non-upbeat audio,210,210,1,36,0.46123819898329704,0.757716049382716,0.29647785039941893,0.4714285714285714,0.6857142857142857,0.2142857142857143,0.47576252723311546,0.6849128540305011,0.2091503267973856
topbottom25_logistic,10fold,non_funny_visual,Non-funny visual,210,210,1,36,0.43795388525780676,0.7477305737109659,0.3097766884531591,0.44285714285714284,0.7047619047619048,0.261904761904762,0.4417211328976035,0.7042483660130718,0.26252723311546833
topbottom25_logistic,loo,ocr_brand_present,OCR brand text,210,210,1,36,0.24863834422657954,0.7322076978939724,0.4835693536673929,0.5523809523809524,0.6857142857142857,0.1333333333333333,0.559640522875817,0.6854575163398693,0.12581699346405228
topbottom25_logistic,loo,strong_people_present,Strong people,210,210,1,36,0.2516339869281046,0.7312999273783587,0.47966594045025407,0.5142857142857142,0.6857142857142857,0.17142857142857149,0.5,0.6854575163398693,0.1854575163398693
topbottom25_logistic,loo,face_closeup_present,Face close-up,210,210,1,36,0.26942628903413224,0.7324800290486565,0.46305374001452426,0.26666666666666666,0.6857142857142857,0.41904761904761906,0.25925925925925924,0.6854575163398693,0.42619825708061004
topbottom25_logistic,loo,saturation_mean,Mean saturation,210,210,1,36,0.5531045751633987,0.7364742193173566,0.18336964415395784,0.5476190476190477,0.680952380952381,0.1333333333333333,0.5465686274509804,0.6808278867102397,0.1342592592592593
topbottom25_logistic,loo,high_saturation_present,High saturation window,210,210,1,36,0.3079157588961511,0.7388344226579521,0.430918663761801,0.5571428571428572,0.6952380952380952,0.13809523809523805,0.5561002178649237,0.6952614379084967,0.139161220043573
topbottom25_logistic,loo,non_upbeat_audio,Non-upbeat audio,210,210,1,36,0.10784313725490201,0.7500907770515615,0.6422476397966594,0.5285714285714286,0.6904761904761905,0.16190476190476188,0.5408496732026143,0.6898148148148148,0.14896514161220042
topbottom25_logistic,loo,non_funny_visual,Non-funny visual,210,210,1,36,0.09685911401597677,0.7333877995642701,0.6365286855482933,0.05238095238095238,0.6857142857142857,0.6333333333333333,0.05092592592592592,0.6854575163398693,0.6345315904139434
