sample,behavior_model,feature_group,feature_set,space,n,n_features,effective_features,neural_distance,rsa_spearman,p_perm_two_sided,n_perm,pair_count,mean_within_neural_distance,mean_between_neural_distance,between_minus_within,roi,window
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,CLAP + TRIBE 5ROI,pca50,210,547,50,correlation,0.0583202987909317,0.0099009900990099,100,21945,0.9888022890916514,1.0175072880735996,0.0287049989819482,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,ASR + TRIBE 5ROI,pca50,398,553,50,correlation,0.0352046377956867,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,ASR + TRIBE 5ROI,pca50,210,553,50,correlation,0.0754188150167465,0.0099009900990099,100,21945,0.990003556560042,1.0113945689546682,0.021391012394626,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,ACR + TRIBE 5ROI,pca50,398,79,50,correlation,0.0601101927459239,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,ACR + TRIBE 5ROI,pca50,210,79,50,correlation,0.147428810596466,0.0099009900990099,100,21945,0.9653540058920714,1.041991815306602,0.0766378094145304,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,OCR + TRIBE 5ROI,standardized,398,48,48,correlation,0.0614548064768314,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,OCR + TRIBE 5ROI,standardized,210,48,48,correlation,0.1618819534778595,0.0099009900990099,100,21945,0.956333482820177,1.050088137090426,0.0937546542702489,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,Content timing + TRIBE 5ROI,pca50,398,83,50,correlation,0.0626189559698104,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,Content timing + TRIBE 5ROI,pca50,210,83,50,correlation,0.1640739291906356,0.0099009900990099,100,21945,0.9643419420721346,1.0439814493792967,0.079639507307162,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,CLIP+CLAP+ASR+ACR,pca50,398,1586,50,correlation,0.0477671362459659,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,CLIP+CLAP+ASR+ACR,pca50,210,1586,50,correlation,0.0724460408091545,0.0099009900990099,100,21945,0.9898798549595504,1.0176362723564565,0.0277564173969058,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,CLIP+CLAP+ASR+ACR+TRIBE,pca50,398,1621,50,correlation,0.0530235096812248,0.0099009900990099,100,79003,,,,,
