roi,pearson_r,p_value
dlPFC,-0.04082981325877996,0.41778357467769606
Amygdala,-0.0342163178828733,0.4971742730900857
vmPFC,-0.05456434772415597,0.2787234414982765
Hippocampus,0.028108823656966073,0.5770489058365037
Ventral striatum,-0.06093785972109768,0.22630213465585408
